mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
402407,10/1/2024,210F,NULL,None,0,Excessively drained,Excessively drained,A,0,6,mapunit.iacornsr (IA),0.122,76,64,1,NULL
409105,10/1/2024,33G,NULL,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.141,150,254,0,NULL
447321,10/1/2024,33G,NULL,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.142,150,274,0,NULL
403913,10/1/2024,1G,NULL,None,0,Well drained,Well drained,B,0,6,mapunit.iacornsr (IA),0.166,150,320,0,NULL
401869,10/1/2024,1G,NULL,None,0,Well drained,Well drained,B,0,6,mapunit.iacornsr (IA),0.166,150,320,0,NULL
447290,10/1/2024,1G,NULL,None,0,Well drained,Well drained,B,0,6,mapunit.iacornsr (IA),0.166,150,320,0,NULL
406748,10/1/2024,1G,NULL,None,0,Well drained,Well drained,B,0,6,mapunit.iacornsr (IA),0.166,150,320,0,NULL
410460,10/1/2024,1G,NULL,None,0,Well drained,Well drained,B,0,6,mapunit.iacornsr (IA),0.166,150,320,0,NULL
406113,10/1/2024,1G,NULL,None,0,Well drained,Well drained,B,0,6,mapunit.iacornsr (IA),0.166,150,320,0,NULL
409806,10/1/2024,65G,NULL,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.167,150,245,0,NULL
404727,10/1/2024,65F,NULL,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.167,150,245,0,NULL
1860770,10/1/2024,65G,NULL,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.167,150,245,0,NULL
404838,10/1/2024,65G,NULL,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.167,150,245,0,NULL
410729,10/1/2024,65G,NULL,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.167,150,245,0,NULL
408704,10/1/2024,1058G,122,None,0,Well drained,Well drained,C,0,6,mapunit.iacornsr (IA),0.19,150,239,0,NULL
410021,10/1/2024,680G,122,None,0,Well drained,Moderately well drained,C,0,6,mapunit.iacornsr (IA),0.194,150,252,0,NULL
402482,10/1/2024,63F,NULL,None,0,Excessively drained,Excessively drained,A,0,6,mapunit.iacornsr (IA),0.204,150,110,1,NULL
447360,10/1/2024,237B,NULL,Rare,0,Excessively drained,Excessively drained,A,0,6,mapunit.iacornsr (IA),0.25,150,105,1,NULL
410094,10/1/2024,73E,NULL,None,0,Excessively drained,Excessively drained,A,0,6,mapunit.iacornsr (IA),0.323,150,63,1,NULL
409955,10/1/2024,2221,0,None,100,Very poorly drained,Very poorly drained,B/D,100,6,mapunit.iacornsr (IA),0.329,150,374,0,100
409356,10/1/2024,63F2,NULL,None,0,Excessively drained,Excessively drained,A,0,6,mapunit.iacornsr (IA),0.337,150,152,1,NULL
409174,10/1/2024,322F2,61,None,0,Moderately well drained,Moderately well drained,D,0,6,mapunit.iacornsr (IA),0.367,114,162,0,NULL
