mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
200543,10/1/2024,1457L,15,Occasional,85,Very poorly drained,Very poorly drained,D,85,79,JNemecek.custom (IL),0.031,150,162,0,85
173376,10/1/2024,1426,0,Frequent,100,Very poorly drained,Very poorly drained,C/D,100,89,JNemecek.custom (IL),0.032,150,183,0,100
184064,10/1/2024,1457A,15,Occasional,90,Very poorly drained,Very poorly drained,D,100,79,JNemecek.custom (IL),0.036,150,175,0,100
1913977,10/1/2024,1083A,7,Frequent,95,Very poorly drained,Very poorly drained,D,95,103,JNemecek.custom (IL),0.037,150,192,0,95
262835,10/1/2024,1776A,7,Frequent,90,Very poorly drained,Very poorly drained,B/D,90,122,JNemecek.custom (IL),0.046,150,265,0,90
184065,10/1/2024,1591A,15,Occasional,85,Very poorly drained,Very poorly drained,D,85,102,JNemecek.custom (IL),0.052,150,248,0,85
1592050,10/1/2024,403F2,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,D,0,54,JNemecek.custom (IL),0.057,25,52,1,NULL
1590334,10/1/2024,4516A,7,None,93,Very poorly drained,Very poorly drained,C/D,93,102,JNemecek.custom (IL),0.057,64,126,1,93
200793,10/1/2024,741F,NULL,None,3,Excessively drained,Excessively drained,A,3,73,JNemecek.custom (IL),0.06,150,102,1,3
244823,10/1/2024,741F,NULL,None,3,Excessively drained,Excessively drained,A,3,73,JNemecek.custom (IL),0.06,150,102,1,3
208982,10/1/2024,282F,NULL,None,3,Excessively drained,Excessively drained,A,3,66,JNemecek.custom (IL),0.064,150,122,1,3
1386854,10/1/2024,1480A,7,Frequent,94,Very poorly drained,Very poorly drained,B/D,94,103,JNemecek.custom (IL),0.065,150,294,0,94
1862901,10/1/2024,1480A,7,Frequent,94,Very poorly drained,Very poorly drained,B/D,94,103,JNemecek.custom (IL),0.065,150,294,0,94
172635,10/1/2024,1480A,7,Frequent,94,Very poorly drained,Very poorly drained,B/D,94,103,JNemecek.custom (IL),0.065,150,294,0,94
1590357,10/1/2024,4107A,7,Frequent,93,Very poorly drained,Very poorly drained,B/D,93,123,JNemecek.custom (IL),0.067,150,297,0,93
804213,10/1/2024,4777A,7,None,93,Very poorly drained,Very poorly drained,A/D,93,97,JNemecek.custom (IL),0.072,150,314,0,93
172930,10/1/2024,93G,NULL,None,0,Excessively drained,Excessively drained,A,0,74,JNemecek.custom (IL),0.075,150,67,1,NULL
2108917,10/1/2024,4904A,7,None,95,Very poorly drained,Very poorly drained,C/D,95,109,JNemecek.custom (IL),0.075,150,362,0,95
183417,10/1/2024,4904A,7,None,95,Very poorly drained,Very poorly drained,C/D,95,109,JNemecek.custom (IL),0.075,150,362,0,95
1600056,10/1/2024,4904A,7,None,95,Very poorly drained,Very poorly drained,C/D,95,109,JNemecek.custom (IL),0.075,150,362,0,95
1487583,10/1/2024,403F,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,D,0,54,JNemecek.custom (IL),0.076,25,50,1,NULL
1398943,10/1/2024,403F,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,D,0,54,JNemecek.custom (IL),0.076,25,50,1,NULL
941539,10/1/2024,403F,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,D,0,54,JNemecek.custom (IL),0.076,25,50,1,NULL
1479011,10/1/2024,397F,NULL,None,3,Excessively drained,Excessively drained,A,3,61,JNemecek.custom (IL),0.077,58,46,1,3
942167,10/1/2024,397F,NULL,None,3,Excessively drained,Excessively drained,A,3,61,JNemecek.custom (IL),0.077,58,46,1,3
1386810,10/1/2024,397F,NULL,None,3,Excessively drained,Excessively drained,A,3,61,JNemecek.custom (IL),0.077,58,46,1,3
182698,10/1/2024,4103A,0,None,100,Very poorly drained,Very poorly drained,A/D,100,115,JNemecek.custom (IL),0.078,150,600,0,100
2108922,10/1/2024,1330A,7,None,100,Very poorly drained,Very poorly drained,C/D,100,108,JNemecek.custom (IL),0.079,150,257,0,100
183348,10/1/2024,1330A,7,None,100,Very poorly drained,Very poorly drained,C/D,100,108,JNemecek.custom (IL),0.079,150,257,0,100
182360,10/1/2024,1100A,0,None,100,Very poorly drained,Very poorly drained,B/D,100,104,JNemecek.custom (IL),0.082,150,415,0,100
804210,10/1/2024,1330A,7,None,93,Very poorly drained,Very poorly drained,C/D,93,108,JNemecek.custom (IL),0.082,150,270,0,93
182384,10/1/2024,1330A,7,None,93,Very poorly drained,Very poorly drained,C/D,93,108,JNemecek.custom (IL),0.082,150,270,0,93
804211,10/1/2024,4103A,7,None,93,Very poorly drained,Very poorly drained,A/D,93,115,JNemecek.custom (IL),0.082,150,600,0,93
618732,10/1/2024,403F,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,D,0,54,JNemecek.custom (IL),0.083,36,62,1,NULL
988142,10/1/2024,403F,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,D,0,54,JNemecek.custom (IL),0.083,36,62,1,NULL
179436,10/1/2024,93F,NULL,None,0,Excessively drained,Excessively drained,A,0,74,JNemecek.custom (IL),0.084,150,73,1,NULL
1483229,10/1/2024,1777A,7,Frequent,100,Very poorly drained,Very poorly drained,A/D,100,97,JNemecek.custom (IL),0.084,150,389,0,100
174220,10/1/2024,1777A,7,Frequent,100,Very poorly drained,Very poorly drained,A/D,100,97,JNemecek.custom (IL),0.084,150,389,0,100
199202,10/1/2024,713G,NULL,None,0,Well drained,Well drained,B,0,57,JNemecek.custom (IL),0.085,51,44,1,NULL
211789,10/1/2024,713G,NULL,None,0,Well drained,Well drained,B,0,57,JNemecek.custom (IL),0.085,51,44,1,NULL
182263,10/1/2024,93G,NULL,None,0,Excessively drained,Excessively drained,A,0,74,JNemecek.custom (IL),0.085,150,71,1,NULL
1543926,10/1/2024,784F,NULL,None,0,Well drained,Well drained,B,0,56,JNemecek.custom (IL),0.088,77,56,1,NULL
1426289,10/1/2024,241G,66,None,0,Moderately well drained,Moderately well drained,D,0,69,JNemecek.custom (IL),0.088,51,45,1,NULL
1415895,10/1/2024,241G,66,None,0,Moderately well drained,Moderately well drained,D,0,69,JNemecek.custom (IL),0.088,51,45,1,NULL
183139,10/1/2024,821G,NULL,NULL,0,Well drained,Well drained,C,0,71,JNemecek.custom (IL),0.088,15,16,1,NULL
1528955,10/1/2024,821G,NULL,NULL,0,Well drained,Well drained,C,0,71,JNemecek.custom (IL),0.088,15,16,1,NULL
1405946,10/1/2024,821G,NULL,NULL,0,Well drained,Well drained,C,0,71,JNemecek.custom (IL),0.088,15,16,1,NULL
200511,10/1/2024,821G,NULL,NULL,0,Well drained,Well drained,C,0,71,JNemecek.custom (IL),0.088,15,16,1,NULL
729345,10/1/2024,741F,NULL,None,0,Excessively drained,Excessively drained,A,0,73,JNemecek.custom (IL),0.088,150,108,1,NULL
184110,10/1/2024,658F,NULL,None,0,Well drained,Well drained,D,0,71,JNemecek.custom (IL),0.089,61,72,1,NULL
1478043,10/1/2024,793F,NULL,None,0,Well drained,Well drained,B,0,48,JNemecek.custom (IL),0.09,70,72,1,NULL
1478044,10/1/2024,793G,NULL,None,0,Well drained,Well drained,B,0,48,JNemecek.custom (IL),0.09,70,72,1,NULL
1402113,10/1/2024,793F,NULL,None,0,Well drained,Well drained,B,0,48,JNemecek.custom (IL),0.09,70,72,1,NULL
1402114,10/1/2024,793G,NULL,None,0,Well drained,Well drained,B,0,48,JNemecek.custom (IL),0.09,70,72,1,NULL
1949595,10/1/2024,779F,NULL,None,0,Excessively drained,Excessively drained,A,0,68,JNemecek.custom (IL),0.09,150,176,0,NULL
