mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
160183,10/1/2024,BnA,23,None,5,Somewhat poorly drained,Somewhat poorly drained,D,5,73,coInterp.mrulename (IN),0.687,83,140,1,5
160184,10/1/2024,BoB,NULL,None,0,Well drained,Well drained,A,0,50,coInterp.mrulename (IN),0.589,150,132,1,NULL
160185,10/1/2024,BoC,NULL,None,0,Well drained,Well drained,A,0,45,coInterp.mrulename (IN),0.575,150,132,1,NULL
160186,10/1/2024,BoD,NULL,None,0,Well drained,Well drained,A,0,37,coInterp.mrulename (IN),0.535,150,132,1,NULL
160187,10/1/2024,BtA,69,None,0,Moderately well drained,Moderately well drained,A,3,47,coInterp.mrulename (IN),0.465,150,77,1,3
160188,10/1/2024,Bz,15,None,100,Poorly drained,Poorly drained,B/D,100,92,coInterp.mrulename (IN),0.686,112,144,1,100
160189,10/1/2024,CaC,NULL,None,0,Well drained,Well drained,B,0,28,coInterp.mrulename (IN),0.512,150,94,1,NULL
160190,10/1/2024,CaD2,NULL,None,0,Well drained,Well drained,B,0,19,coInterp.mrulename (IN),0.454,150,94,1,NULL
160191,10/1/2024,CcA,NULL,None,0,Well drained,Well drained,A,0,57,coInterp.mrulename (IN),0.715,150,162,0,NULL
160192,10/1/2024,ChB,NULL,None,0,Excessively drained,Excessively drained,A,0,42,coInterp.mrulename (IN),0.513,150,148,1,NULL
160193,10/1/2024,ChC,NULL,None,0,Excessively drained,Excessively drained,A,0,37,coInterp.mrulename (IN),0.502,150,148,1,NULL
160194,10/1/2024,Co,7,Frequent,100,Very poorly drained,Very poorly drained,A/D,100,71,coInterp.mrulename (IN),0.68,150,246,0,100
160195,10/1/2024,CrA,38,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,3,81,coInterp.mrulename (IN),0.661,81,99,1,3
160196,10/1/2024,Dr,38,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,3,73,coInterp.mrulename (IN),0.704,150,200,0,3
160197,10/1/2024,Ed,7,None,100,Very poorly drained,Very poorly drained,C/D,100,66,coInterp.mrulename (IN),0.886,150,324,0,100
160198,10/1/2024,GnB,46,None,4,Moderately well drained,Moderately well drained,D,4,68,coInterp.mrulename (IN),0.665,74,125,1,4
160199,10/1/2024,Gs,7,Frequent,100,Very poorly drained,Very poorly drained,A/D,100,63,coInterp.mrulename (IN),0.409,150,123,1,100
160200,10/1/2024,HaA,30,None,8,Somewhat poorly drained,Somewhat poorly drained,C/D,8,81,coInterp.mrulename (IN),0.739,91,144,1,8
160203,10/1/2024,Hw,0,None,100,Very poorly drained,Very poorly drained,A/D,100,86,coInterp.mrulename (IN),0.926,150,600,0,100
160204,10/1/2024,KoA,NULL,None,0,Well drained,Well drained,B,3,57,coInterp.mrulename (IN),0.666,150,149,1,3
160205,10/1/2024,KoB,NULL,None,0,Well drained,Well drained,B,0,57,coInterp.mrulename (IN),0.656,150,149,1,NULL
160206,10/1/2024,KsC,NULL,None,0,Well drained,Well drained,B,0,53,coInterp.mrulename (IN),0.627,150,141,1,NULL
160207,10/1/2024,MbA,NULL,None,0,Well drained,Well drained,B,3,76,coInterp.mrulename (IN),0.777,150,228,0,3
