mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
398853,10/1/2024,1033,NULL,NULL,0,NULL,Excessively drained,NULL,10,15,mutext.textcat=CropProd (MN),0.252,150,100,1,10
398854,10/1/2024,1059,61,Rare,0,Somewhat poorly drained,Somewhat poorly drained,C,15,84,mutext.textcat=CropProd (MN),0.644,150,215,0,15
3115168,10/1/2024,B57B,45,None,3,Moderately well drained,Somewhat poorly drained,C,5,92,mutext.textcat=CropProd (MN),0.714,150,280,0,5
3115169,10/1/2024,B57A,45,None,3,Somewhat poorly drained,Somewhat poorly drained,C/D,12,93,mutext.textcat=CropProd (MN),0.742,150,281,0,12
3115170,10/1/2024,B54A,10,None,9,Poorly drained,Poorly drained,C/D,84,82,mutext.textcat=CropProd (MN),0.68,150,270,0,84
3115171,10/1/2024,B56A,0,None,75,Very poorly drained,Very poorly drained,B/D,95,29,mutext.textcat=CropProd (MN),0.512,150,328,0,95
3248023,10/1/2024,B1D,25,None,0,Moderately well drained,Somewhat poorly drained,D,5,44,mutext.textcat=CropProd (MN),0.416,150,163,0,5
3248024,10/1/2024,B5B,25,None,0,Somewhat poorly drained,Somewhat poorly drained,D,5,58,mutext.textcat=CropProd (MN),0.438,150,161,0,5
3248025,10/1/2024,B3B,10,None,5,Somewhat poorly drained,Poorly drained,D,25,55,mutext.textcat=CropProd (MN),0.455,150,161,0,25
3248026,10/1/2024,B172A,0,None,25,Poorly drained,Very poorly drained,D,85,41,mutext.textcat=CropProd (MN),0.438,150,169,0,85
3248027,10/1/2024,B630A,0,None,95,Very poorly drained,Very poorly drained,D,100,15,mutext.textcat=CropProd (MN),0.411,150,284,0,100
3248028,10/1/2024,B626D,45,None,0,Moderately well drained,Somewhat poorly drained,D,10,40,mutext.textcat=CropProd (MN),0.516,150,243,0,10
3248029,10/1/2024,B626B,45,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,5,81,mutext.textcat=CropProd (MN),0.574,150,242,0,5
3314030,10/1/2024,B606B,10,None,0,Somewhat poorly drained,Poorly drained,C/D,19,77,mutext.textcat=CropProd (MN),0.583,150,246,0,19
3314031,10/1/2024,B616A,0,None,15,Poorly drained,Very poorly drained,C/D,81,55,mutext.textcat=CropProd (MN),0.589,150,255,0,81
3314032,10/1/2024,B243A,0,None,100,Very poorly drained,Very poorly drained,C/D,100,15,mutext.textcat=CropProd (MN),0.465,150,368,0,100
398916,10/1/2024,828D,NULL,None,0,Well drained,Well drained,D,0,13,mutext.textcat=CropProd (MN),0.226,39,48,1,NULL
398915,10/1/2024,794,90,None,0,Moderately well drained,Moderately well drained,A,6,31,mutext.textcat=CropProd (MN),0.201,150,81,1,6
398914,10/1/2024,792,15,Frequent,0,Poorly drained,Poorly drained,B/D,100,20,mutext.textcat=CropProd (MN),0.557,150,207,0,100
398913,10/1/2024,77B,75,None,0,Moderately well drained,Moderately well drained,C,15,89,mutext.textcat=CropProd (MN),0.535,150,257,0,15
398911,10/1/2024,702,0,None,90,Very poorly drained,Very poorly drained,A/D,100,5,mutext.textcat=CropProd (MN),0.368,150,470,0,100
398910,10/1/2024,655,45,None,0,Poorly drained,Poorly drained,D,85,38,mutext.textcat=CropProd (MN),0.396,150,191,0,85
398909,10/1/2024,644,0,None,85,Poorly drained,Poorly drained,C/D,100,88,mutext.textcat=CropProd (MN),0.488,150,246,0,100
398908,10/1/2024,641,0,None,85,Poorly drained,Poorly drained,C/D,97,94,mutext.textcat=CropProd (MN),0.497,150,250,0,97
398906,10/1/2024,627,0,None,85,Very poorly drained,Very poorly drained,A/D,100,5,mutext.textcat=CropProd (MN),0.436,150,405,0,100
398903,10/1/2024,582,15,None,85,Poorly drained,Poorly drained,C/D,100,92,mutext.textcat=CropProd (MN),0.586,150,262,0,100
398902,10/1/2024,581,15,None,85,Poorly drained,Poorly drained,B/D,95,82,mutext.textcat=CropProd (MN),0.542,150,242,0,95
398901,10/1/2024,570,NULL,None,0,Well drained,Well drained,A,0,31,mutext.textcat=CropProd (MN),0.22,150,86,1,NULL
398900,10/1/2024,569,15,None,85,Poorly drained,Poorly drained,B/D,100,84,mutext.textcat=CropProd (MN),0.631,150,300,0,100
398899,10/1/2024,568,15,None,85,Poorly drained,Poorly drained,A/D,95,92,mutext.textcat=CropProd (MN),0.56,150,272,0,95
398898,10/1/2024,565,75,None,0,Moderately well drained,Moderately well drained,A,15,60,mutext.textcat=CropProd (MN),0.42,150,206,0,15
398897,10/1/2024,563,0,None,85,Very poorly drained,Very poorly drained,B/D,100,15,mutext.textcat=CropProd (MN),0.224,150,275,0,100
398896,10/1/2024,560,0,None,0,Very poorly drained,Very poorly drained,A/D,100,5,mutext.textcat=CropProd (MN),0.264,150,804,0,100
398895,10/1/2024,549,0,None,45,Very poorly drained,Very poorly drained,A/D,100,5,mutext.textcat=CropProd (MN),0.189,150,775,0,100
398894,10/1/2024,546,0,None,45,Very poorly drained,Very poorly drained,A/D,100,5,mutext.textcat=CropProd (MN),0.33,150,600,0,100
398893,10/1/2024,544,0,None,95,Very poorly drained,Very poorly drained,A/D,100,5,mutext.textcat=CropProd (MN),0.453,150,494,0,100
398892,10/1/2024,543,0,None,95,Very poorly drained,Very poorly drained,A/D,100,5,mutext.textcat=CropProd (MN),0.462,150,324,0,100
