mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
278182,10/1/2024,PeC2,32,None,0,Moderately well drained,Moderately well drained,D,0,57,mutext.textcat=PI (OH),0.352,50,97,1,NULL
298063,10/1/2024,PrB,17,None,5,Somewhat poorly drained,Somewhat poorly drained,D,5,60,mutext.textcat=PI (OH),0.599,95,149,1,5
298853,10/1/2024,OrA,25,Frequent,0,Somewhat poorly drained,Somewhat poorly drained,B/D,6,69,mutext.textcat=PI (OH),0.664,150,233,0,6
298854,10/1/2024,HmA,0,Frequent,0,Poorly drained,Poorly drained,B/D,90,58,mutext.textcat=PI (OH),0.683,150,257,0,90
298858,10/1/2024,BkA,53,None,0,Moderately well drained,Moderately well drained,B/D,0,71,mutext.textcat=PI (OH),0.701,150,172,0,NULL
298859,10/1/2024,BkB,51,None,0,Moderately well drained,Moderately well drained,B/D,0,69,mutext.textcat=PI (OH),0.556,150,140,1,NULL
298860,10/1/2024,BkC,53,None,0,Moderately well drained,Moderately well drained,B/D,0,64,mutext.textcat=PI (OH),0.603,150,147,1,NULL
298861,10/1/2024,CaB,53,None,0,Moderately well drained,Moderately well drained,D,0,64,mutext.textcat=PI (OH),0.537,60,124,1,NULL
298862,10/1/2024,CaC,53,None,0,Moderately well drained,Moderately well drained,D,0,62,mutext.textcat=PI (OH),0.524,60,124,1,NULL
298863,10/1/2024,CaD,53,None,0,Moderately well drained,Moderately well drained,D,0,56,mutext.textcat=PI (OH),0.421,55,111,1,NULL
298864,10/1/2024,CcA,0,None,79,Poorly drained,Poorly drained,D,80,52,mutext.textcat=PI (OH),0.603,150,234,0,80
298865,10/1/2024,CdA,15,None,0,Somewhat poorly drained,Somewhat poorly drained,D,15,63,mutext.textcat=PI (OH),0.593,150,213,0,15
298866,10/1/2024,CdB,15,None,0,Somewhat poorly drained,Somewhat poorly drained,D,10,60,mutext.textcat=PI (OH),0.564,150,191,0,10
298867,10/1/2024,CeA,0,None,40,Somewhat poorly drained,Poorly drained,D,45,55,mutext.textcat=PI (OH),0.605,150,219,0,45
298868,10/1/2024,CfC2,30,None,0,Moderately well drained,Moderately well drained,C/D,0,42,mutext.textcat=PI (OH),0.693,145,215,0,NULL
298869,10/1/2024,CfD2,43,None,0,Moderately well drained,Moderately well drained,C/D,0,30,mutext.textcat=PI (OH),0.617,147,220,0,NULL
298871,10/1/2024,CgA,0,None,89,Very poorly drained,Very poorly drained,A/D,100,68,mutext.textcat=PI (OH),0.04,150,600,0,100
298872,10/1/2024,CkA,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,63,mutext.textcat=PI (OH),0.521,150,107,1,NULL
298873,10/1/2024,CkB,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,61,mutext.textcat=PI (OH),0.546,150,145,1,NULL
298874,10/1/2024,CkC,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,60,mutext.textcat=PI (OH),0.486,150,110,1,NULL
298875,10/1/2024,CkD,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,58,mutext.textcat=PI (OH),0.327,150,99,1,NULL
298876,10/1/2024,CoB,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,51,mutext.textcat=PI (OH),0.416,150,110,1,NULL
298877,10/1/2024,CoD,NULL,None,0,Somewhat excessively drained,Somewhat excessively drained,A,0,45,mutext.textcat=PI (OH),0.376,150,110,1,NULL
298879,10/1/2024,CtA,23,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,0,59,mutext.textcat=PI (OH),0.691,132,227,0,NULL
298884,10/1/2024,DeC,23,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,0,57,mutext.textcat=PI (OH),0.647,102,154,0,NULL
298885,10/1/2024,12:00 AM,13,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,0,54,mutext.textcat=PI (OH),0.589,92,132,1,NULL
298887,10/1/2024,DhB,20,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,5,57,mutext.textcat=PI (OH),0.611,103,146,1,5
298888,10/1/2024,EnB,53,None,0,Moderately well drained,Moderately well drained,A/D,0,52,mutext.textcat=PI (OH),0.506,150,96,1,NULL
298889,10/1/2024,FcA,23,None,10,Somewhat poorly drained,Somewhat poorly drained,C/D,10,70,mutext.textcat=PI (OH),0.921,150,321,0,10
298890,10/1/2024,FcB,23,None,10,Somewhat poorly drained,Somewhat poorly drained,C/D,10,68,mutext.textcat=PI (OH),0.91,150,321,0,10
