mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
1444460,10/1/2024,611B,46,None,0,Moderately well drained,Moderately well drained,C/D,0,27,coInterp.mrulename (WI),0.385,84,108,1,NULL
1444461,10/1/2024,614B,30,None,0,Moderately well drained,Somewhat poorly drained,C/D,0,27,coInterp.mrulename (WI),0.463,79,97,1,NULL
1444463,10/1/2024,639A,61,None,0,Moderately well drained,Moderately well drained,A,0,40,coInterp.mrulename (WI),0.357,147,103,1,NULL
1444464,10/1/2024,644B,61,None,0,Moderately well drained,Moderately well drained,C,0,68,coInterp.mrulename (WI),0.389,84,123,1,NULL
1444465,10/1/2024,644C,61,None,0,Moderately well drained,Moderately well drained,C,0,62,coInterp.mrulename (WI),0.373,84,123,1,NULL
1444467,10/1/2024,670B,NULL,None,0,Well drained,Well drained,A,0,49,coInterp.mrulename (WI),0.478,150,130,1,NULL
1444468,10/1/2024,670C,NULL,None,0,Well drained,Well drained,A,0,42,coInterp.mrulename (WI),0.456,150,129,1,NULL
1444469,10/1/2024,670E,NULL,None,0,Well drained,Well drained,A,0,20,coInterp.mrulename (WI),0.108,150,129,1,NULL
1444470,10/1/2024,674B,NULL,None,0,Well drained,Well drained,A,0,34,coInterp.mrulename (WI),0.45,145,128,1,NULL
1444471,10/1/2024,674C,NULL,None,0,Well drained,Well drained,A,0,27,coInterp.mrulename (WI),0.429,145,128,1,NULL
1444473,10/1/2024,674E,NULL,None,0,Well drained,Well drained,A,0,16,coInterp.mrulename (WI),0.102,145,128,1,NULL
1444474,10/1/2024,675A,15,None,0,Somewhat poorly drained,Somewhat poorly drained,B/D,5,46,coInterp.mrulename (WI),0.617,145,216,0,5
1444476,10/1/2024,683A,76,None,0,Moderately well drained,Moderately well drained,C,0,63,coInterp.mrulename (WI),0.538,150,140,1,NULL
1444477,10/1/2024,705B,61,None,0,Moderately well drained,Moderately well drained,A,0,34,coInterp.mrulename (WI),0.352,150,124,1,NULL
1444478,10/1/2024,705C,61,None,0,Moderately well drained,Moderately well drained,A,0,27,coInterp.mrulename (WI),0.318,150,124,1,NULL
1444479,10/1/2024,712B,46,None,0,Moderately well drained,Moderately well drained,C/D,0,37,coInterp.mrulename (WI),0.5,150,197,0,NULL
1444480,10/1/2024,712C,46,None,0,Moderately well drained,Moderately well drained,C/D,0,30,coInterp.mrulename (WI),0.372,150,197,0,NULL
1444481,10/1/2024,713B,15,None,0,Moderately well drained,Somewhat poorly drained,C/D,5,38,coInterp.mrulename (WI),0.44,148,143,1,5
1444482,10/1/2024,713C,15,None,0,Moderately well drained,Somewhat poorly drained,C/D,3,32,coInterp.mrulename (WI),0.423,148,144,1,3
1444485,10/1/2024,744B,15,None,0,Somewhat poorly drained,Somewhat poorly drained,C/D,5,48,coInterp.mrulename (WI),0.445,84,126,1,5
1444486,10/1/2024,753B,0,None,30,Somewhat poorly drained,Poorly drained,C/D,33,46,coInterp.mrulename (WI),0.363,141,183,0,33
1444487,10/1/2024,756B,15,None,0,Moderately well drained,Somewhat poorly drained,D,3,43,coInterp.mrulename (WI),0.444,73,97,1,3
1444488,10/1/2024,756C,15,None,0,Moderately well drained,Somewhat poorly drained,D,2,37,coInterp.mrulename (WI),0.43,73,97,1,2
1444489,10/1/2024,805E,76,None,0,Well drained,Moderately well drained,A,0,16,coInterp.mrulename (WI),0.149,148,116,1,NULL
1444490,10/1/2024,809C,30,None,0,Moderately well drained,Moderately well drained,C/D,5,38,coInterp.mrulename (WI),0.323,66,115,1,5
1444491,10/1/2024,809D,30,None,0,Moderately well drained,Moderately well drained,C/D,5,12,coInterp.mrulename (WI),0.152,66,115,1,5
